Time,H,O,X,nn,ss,xx
21:02:52,1,1,0,2,0,2
21:02:53,1,1,0,2,0,2
21:02:53,1,1,0,2,0,2
21:02:53,1,1,0,2,0,2
21:02:53,1,1,0,2,0,2
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:53,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,0
21:02:54,1,1,0,2,0,1
21:02:54,1,1,0,2,0,1
21:02:54,1,1,0,2,0,1
21:02:54,1,1,0,2,0,2
21:02:54,1,1,0,2,0,2
21:02:54,1,1,0,2,0,2
21:02:55,1,1,0,2,0,0
21:02:55,1,1,0,2,0,2
21:02:55,1,1,0,2,0,2
21:02:55,1,1,0,2,0,2
21:02:55,1,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:55,0,1,0,2,0,2
21:02:56,0,1,0,2,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,2,0,2
21:02:56,0,1,0,2,0,2
21:02:56,0,1,0,2,0,2
21:02:56,0,1,0,1,0,2
21:02:56,0,1,0,0,0,2
21:02:56,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
21:02:57,0,1,0,0,0,2
